start	end	text
0	28000	詞曲 李宗盛
28000	32000	鐘聲響起貴家的信號
32000	35000	在他生命裡
35000	40000	彷彿大變棄去
40000	45000	黑色幾乎吸他的意
45000	48000	是一生逢現
48000	54000	膚色鬥爭中
54000	60000	臉越白紅油變做失去
60000	67000	疲倦的雙眼大著期望
67000	71000	今天自由殘留的渠航
71000	74000	迎接光季歲月
74000	80000	風雨中抱緊自由
80000	83000	一生經過旁望的掙扎
83000	86000	自信可改變未來
86000	102000	奔水又能做到
102000	107000	可否不分膚色的街下
107000	110000	遠者土地裡
110000	115000	不分離可高低
115000	120000	奔分色彩閃出的美麗
120000	123000	是人家沒有
123000	128000	反彈會重色彩
128000	135000	臉越白紅油變做失去
135000	141000	疲倦的雙眼大著期望
141000	145000	今天自由殘留的渠航
145000	148000	迎接光季歲月
148000	154000	風雨中抱緊自由
154000	158000	一生經過旁望的掙扎
158000	161000	自信可改變未來
161000	165000	奔水又能做到
191000	203000	今天自由殘留的渠航
203000	206000	迎接光季歲月
206000	212000	風雨中抱緊自由
212000	216000	一生經過旁望的掙扎
216000	220000	自信可改變未來
220000	239000	奔水又能做到
239000	243000	今天自由殘留的渠航
243000	246000	迎接光季歲月
246000	252000	風雨中抱緊自由
252000	256000	一生經過旁望的掙扎
256000	259000	自信可改變未來
259000	275000	奔水又能做到
275000	278000	今天自由殘留的渠航
278000	281000	迎接光季歲月
281000	287000	風雨中抱緊自由
287000	291000	一生經過旁望的掙扎
291000	294000	自信可改變未來
