start	end	text
30000	37000	这一生也在进取 这一分钟却挂念谁
37000	42000	我会说是唯独你 不可失去
42000	48000	空风光似环似去 谁命人生乐趣
48000	53000	我会说为情为爱 仍然是对
54000	61000	谁比你重要 成功了霸凉也
61000	67000	完全没重要 谁比你重要
67000	74000	空风与暴雨都引你燃烧
74000	77000	一醉再醉
77000	84000	只想追赶生命率 一分一秒
84000	95000	原来多么可惜 你是真正目标
95000	98000	一醉再醉
98000	105000	最终一切生没罪 基本碎
105000	113000	原来早不缺少
113000	122000	有了你即使平凡吉 最重要
125000	131000	好往有终活太多 一分钟马有余过
131000	136000	会你共同度过 都不枉活
136000	141000	风软多藏更多 愿能重新做过
141000	147000	我说愿能为你 看清楚错
147000	154000	谁比你重要 成功了霸凉也
154000	160000	完全没重要 谁比你重要
160000	167000	空风与暴雨都引你燃烧
167000	170000	一醉再醉
170000	177000	只想追赶生命率 一分一秒
177000	188000	原来多么可惜 你是真正目标
188000	191000	一醉再醉
191000	198000	最终一切生没罪 基本碎
198000	207000	原来早不缺少
207000	216000	有了你即使平凡吉 最重要
218000	224000	空风与暴雨都引你燃烧
224000	228000	一醉再醉
228000	238000	只想追赶生命率 一分一秒
238000	243000	原来多么可惜 你是真正目标
243000	250000	只想追赶生命率 一分一秒
250000	261000	原来多么可惜 你是真正目标
261000	264000	一醉再醉
264000	271000	最终一切生没罪 基本碎
271000	280000	原来早不缺少 只得你
280000	292000	会要我仿佛 人群里最重要
292000	303000	有了你即使沉睡了 一醉再醉
322000	327000	词曲 李宗盛
